edad_piloto,experiencia_piloto,peso_piloto,altura_piloto,presupuesto_equipo_millones,potencia_motor_hp,peso_coche_kg,downforce_kg,eficiencia_combustible,temperatura_pista_c,tipo_neumaticos,condiciones_climaticas,tiempo_vuelta_segundos,puntos_carrera,termino_podio,posicion_final,desgaste_neumaticos_vuelta,imc_piloto,relacion_potencia_peso,experiencia_edad_ratio,tipo_neumaticos_soft,tipo_neumaticos_medium,tipo_neumaticos_hard,condiciones_lluvia
25,12,66.4,174.0,131.3,886.0,786.8,347.0,0.893,18,Soft,Lluvia ligera,67.315,16.0,1,1.0,0.7359,21.9,1.126,0.48,1,0,0,1
32,16,68.8,174.5,102.52,759.0,822.3,428.4,0.726,42,Medium,Soleado,73.965,15.4,1,1.0,0.7626,22.6,0.923,0.5,0,1,0,0
20,2,64.9,184.2,94.13,906.0,752.6,324.0,0.932,39,Medium,Soleado,69.29,10.1,1,3.0,0.7586,19.1,1.204,0.1,0,1,0,0
23,9,68.9,169.4,209.11,1075.0,796.4,404.6,0.757,37,Intermediate,Nublado,50.62,12.5,1,1.0,0.7955,24.0,1.35,0.391,0,0,0,0
26,4,71.2,181.3,114.81,743.0,810.9,250.0,1.002,17,Hard,Nublado,87.99,8.3,1,4.0,0.8314,21.7,0.916,0.154,0,0,1,0
18,11,63.2,172.2,129.97,1091.0,701.7,504.7,0.846,44,Soft,Soleado,37.66,20.2,1,1.0,0.6275,21.3,1.555,0.611,1,0,0,0
33,13,68.4,179.7,116.7,820.0,753.7,401.4,0.769,29,Intermediate,Soleado,64.968,19.4,1,1.0,0.6879,21.2,1.088,0.394,0,0,0,0
22,15,73.4,172.9,175.68,1064.0,753.2,270.5,0.533,44,Soft,Soleado,62.773,11.5,1,1.0,0.8295,24.6,1.413,0.682,1,0,0,0
35,11,73.7,182.5,117.49,849.0,758.8,460.4,0.687,17,Medium,Soleado,56.284,8.1,1,1.0,0.6533,22.1,1.119,0.314,0,1,0,0
36,8,65.2,171.5,141.5,787.0,739.8,385.0,0.797,29,Soft,Lluvia intensa,67.858,11.7,1,1.0,0.7391,22.2,1.064,0.222,1,0,0,1
21,8,70.5,191.4,153.85,784.0,742.5,334.0,0.763,24,Soft,Soleado,73.548,13.5,1,1.0,0.7307,19.2,1.056,0.381,1,0,0,0
24,18,71.4,188.2,107.06,803.0,723.7,380.3,0.902,34,Soft,Soleado,64.0,16.7,1,1.0,0.6796,20.2,1.11,0.75,1,0,0,0
26,10,68.6,180.9,154.66,898.0,728.7,415.9,0.947,30,Medium,Lluvia intensa,55.405,17.9,1,1.0,0.7072,21.0,1.232,0.385,0,1,0,1
25,4,65.6,179.8,238.14,867.0,754.5,419.4,0.585,18,Hard,Nublado,62.178,14.8,1,1.0,0.692,20.3,1.149,0.16,0,0,1,0
39,18,67.8,182.4,108.29,792.0,720.6,367.3,0.86,42,Wet,Nublado,70.949,18.3,1,1.0,0.6872,20.4,1.099,0.462,0,0,0,0
36,15,68.4,160.1,188.59,930.0,777.0,391.4,0.737,23,Intermediate,Soleado,57.647,18.1,1,1.0,0.6758,26.7,1.197,0.417,0,0,0,0
37,16,72.8,175.7,132.45,763.0,783.6,477.8,0.691,34,Medium,Soleado,61.473,13.8,1,1.0,0.7201,23.6,0.974,0.432,0,1,0,0
26,14,60.2,182.4,239.23,954.0,698.9,346.2,0.912,29,Intermediate,Lluvia ligera,56.508,14.5,1,1.0,0.6993,18.1,1.365,0.538,0,0,0,1
20,12,73.4,171.2,217.87,1051.0,764.1,335.7,0.711,31,Medium,Soleado,60.521,19.0,1,1.0,0.7427,25.0,1.375,0.6,0,1,0,0
29,5,65.5,171.9,169.87,1014.0,712.3,291.0,0.955,29,Intermediate,Soleado,62.827,17.1,1,1.0,0.7351,22.2,1.424,0.172,0,0,0,0
31,3,64.9,176.8,210.33,957.0,710.4,357.2,0.796,18,Soft,Nublado,59.957,12.8,1,1.0,0.6541,20.8,1.347,0.097,1,0,0,0
39,16,68.0,176.9,146.62,897.0,849.2,323.8,0.948,29,Medium,Nublado,75.556,16.9,1,1.0,0.8013,21.7,1.056,0.41,0,1,0,0
21,16,76.4,170.5,221.25,859.0,718.6,131.7,0.787,37,Soft,Soleado,84.977,15.7,1,1.0,0.8443,26.3,1.195,0.762,1,0,0,0
20,9,74.8,164.8,188.36,811.0,747.9,450.7,0.898,21,Intermediate,Lluvia ligera,58.613,14.1,1,1.0,0.6595,27.5,1.084,0.45,0,0,0,1
21,7,73.9,170.4,157.36,847.0,793.2,472.3,0.859,23,Soft,Nublado,57.371,8.3,1,1.0,0.6991,25.5,1.068,0.333,1,0,0,0
27,5,68.9,164.2,123.99,893.0,745.9,556.2,0.849,15,Medium,Lluvia ligera,43.838,16.3,1,3.0,0.6352,25.6,1.197,0.185,0,1,0,1
32,11,67.6,183.3,194.44,834.0,783.0,309.8,0.606,17,Soft,Lluvia ligera,77.162,16.6,1,1.0,0.7713,20.1,1.065,0.344,1,0,0,1
22,9,79.1,172.1,157.28,766.0,700.2,450.7,1.023,34,Wet,Soleado,58.002,14.9,1,1.0,0.6472,26.7,1.094,0.409,0,0,0,0
